
wavelength,intensity
3.211597290e+02,-6.241778610e-04
3.212684631e+02,3.043511824e-04
3.213771973e+02,-7.067137631e-04
3.214859314e+02,-6.860797876e-04
3.215946960e+02,-7.067137631e-04
3.217034607e+02,4.075210891e-04
3.218122253e+02,-1.284465194e-03
3.219209900e+02,-7.892497233e-04
3.220297546e+02,-1.284465194e-03
3.221385498e+02,-7.273477386e-04
3.222473450e+02,1.356684137e-03
3.223561401e+02,-2.687575761e-03
3.224649353e+02,1.805473148e-04
3.225737305e+02,-2.336798236e-03
3.226825562e+02,-4.642645217e-05
3.227913513e+02,-1.119393390e-03
3.229001770e+02,2.512186999e-03
3.230090027e+02,-1.057491405e-03
3.231178589e+02,1.397952088e-03
3.232266846e+02,-3.353021457e-04
3.233355408e+02,1.150344382e-03
3.234443970e+02,3.110572230e-03
3.235532532e+02,-6.654458120e-04
3.236621094e+02,6.551288534e-04
3.237709656e+02,1.274148235e-03
3.238798523e+02,1.212246250e-03
3.239887390e+02,-6.706043496e-05
3.240976257e+02,1.955069602e-03
3.242065125e+02,1.645559794e-03
3.243153992e+02,3.662531381e-04
3.244243164e+02,1.439220039e-03
3.245332031e+02,1.047174446e-03
3.246421204e+02,-3.353021457e-04
3.247510376e+02,4.534316715e-03
3.248599854e+02,2.553454833e-03
3.249689026e+02,-9.336875519e-04
3.250778503e+02,4.694230156e-04
3.251867981e+02,-2.579247302e-05
3.252957458e+02,2.285213210e-03
3.254046936e+02,-3.972041013e-04
3.255136414e+02,-3.765701258e-04
3.256226196e+02,-8.717856253e-04
3.257315979e+02,2.635990735e-03
3.258405762e+02,-1.346367178e-03
3.259495544e+02,1.377318054e-03
3.260585327e+02,-2.212994266e-03
3.261675415e+02,1.067808364e-03
3.262765503e+02,3.043511824e-04
3.263855286e+02,2.986768493e-03
3.264945679e+02,-1.428903081e-03
3.266035767e+02,-1.098759356e-03
3.267125854e+02,-9.130535764e-04
3.268216248e+02,5.710453726e-03
3.269306641e+02,-9.543215274e-04
3.270397034e+02,3.275644267e-03
3.271487427e+02,-1.305099227e-03
3.272577820e+02,1.501122024e-03
3.273668518e+02,8.614686085e-04
3.274759216e+02,5.106909666e-04
3.275849915e+02,1.109076315e-03
3.276940613e+02,-8.769441047e-05
3.278031311e+02,-2.398699988e-03
3.279122314e+02,7.789327065e-04
3.280213318e+02,3.358180169e-03
3.281304016e+02,1.088442397e-03
3.282395325e+02,1.005906495e-03
3.283486328e+02,1.769363647e-03
3.284577332e+02,3.043511824e-04
3.285668640e+02,1.872533583e-03
3.286759949e+02,-1.408269047e-03
3.287851257e+02,-2.398699988e-03
3.288942566e+02,-6.241778610e-04
3.290033875e+02,2.388383029e-03
3.291125488e+02,-1.614608802e-03
3.292217102e+02,-2.089190297e-03
3.293308716e+02,-6.241778610e-04
3.294400330e+02,5.932268687e-04
3.295491943e+02,7.376647554e-04
3.296583862e+02,-1.495963515e-04
3.297675476e+02,-3.353021457e-04
3.298767395e+02,1.109076315e-03
3.299859314e+02,-3.265327075e-03
3.300951233e+02,-6.860797876e-04
3.302043457e+02,-2.321322681e-04
3.303135376e+02,2.388383029e-03
3.304227600e+02,-1.083283933e-04
3.305319824e+02,-9.130535764e-04
3.306412048e+02,1.831265632e-03
3.307504578e+02,1.067808364e-03
3.308596802e+02,1.893167617e-03
3.309689331e+02,1.789997681e-03
3.310781860e+02,5.519589176e-04
